id;winner_ace;winner_df;winner_serve_points;winner_1st_in;winner_1st_won;winner_2nd_won;loser_df;loser_serve_points;loser_1st_in;loser_1st_won;loser_2nd_won;match_id;loser_ace
22536;0;3;53;41;28;5;3;61;33;21;7;102605;4
22537;5;5;78;43;35;14;5;63;38;27;10;102606;12
22538;9;1;91;37;28;35;4;82;46;34;17;102607;14
22539;6;6;49;24;22;13;2;59;33;23;7;102608;0
22540;11;0;70;39;28;16;3;54;31;15;13;102609;0
22541;6;4;75;46;30;19;8;118;60;36;26;102610;1
22542;2;7;88;67;48;5;3;90;66;41;9;102611;6
22543;0;2;61;35;25;15;3;59;27;18;12;102612;0
22544;7;4;76;50;35;13;6;66;34;22;17;102613;4
22545;0;1;100;65;43;25;7;86;46;29;22;102614;1
22546;1;0;38;27;21;8;8;45;24;13;6;102615;0
22547;4;2;86;44;30;24;4;93;52;34;17;102616;1
22548;5;1;57;34;24;11;2;49;33;21;3;102617;3
22549;4;8;88;34;28;27;7;77;35;25;27;102618;14
22550;16;8;107;61;47;29;2;110;69;50;23;102619;4
22551;4;3;57;27;20;17;5;52;27;19;6;102620;3
22552;6;2;94;35;24;34;4;93;50;36;18;102621;10
22553;9;11;98;47;40;25;3;103;60;37;25;102622;7
22554;2;4;117;61;46;30;9;97;54;40;23;102623;4
22555;2;1;89;55;40;18;5;86;47;35;18;102624;6
22556;2;4;73;56;41;10;2;70;46;32;12;102625;3
22557;4;3;104;55;41;26;4;118;53;39;28;102626;5
22558;10;7;58;30;24;14;7;89;39;21;24;102627;1
22559;8;5;52;19;14;19;2;50;15;10;16;102628;4
22560;11;4;49;24;22;12;2;49;30;17;9;102629;1
22561;0;1;34;19;16;9;13;45;23;14;4;102630;1
22562;10;7;63;30;27;15;1;49;24;15;15;102631;1
22563;14;5;108;66;50;21;6;98;54;40;25;102632;13
22564;9;6;68;35;33;16;2;70;45;30;13;102633;0
22565;7;5;78;37;31;21;5;66;44;35;8;102634;9
22607;3;2;82;39;30;24;4;106;63;41;15;102703;1
22608;6;3;77;41;30;18;2;69;41;28;15;102704;1
22609;1;2;71;37;22;18;2;90;58;31;13;102705;0
